component,term,weight
2,aire,-0.010765
2,alcohol,0.00133
2,alguno,0.022172
2,alimentacion,0.022663
2,alimento,0.02216
2,almacenar,0.000392
2,alrededor,-0.01011
2,alteracion,0.000184
2,amarillentar,0.000197
2,amarillo,-0.000136
2,ambos,5.3e-05
2,americar,0.000864
2,amplio,-0.005083
2,analizar,0.00029
2,androgeno,0.014581
2,anemia,0.001318
2,animal,0.007383
2,animo,0.007223
2,anomaliar,0.021899
2,anomalo,0.007317
2,anormal,0.007698
2,antecedente,0.008423
2,antigeno_prostatico,0.043744
2,aparato,8e-05
2,aparicion,0.007591
2,apariencia,-0.005291
2,apetito,0.000428
2,aplicar,0.001908
2,apoptosis,0.000368
2,apoyo,0.007644
2,arn,0.000276
2,arterial,0.0006
2,asi,0.001329
2,asiatico,0.000184
2,asintomaticir,0.000184
2,asociacion,0.000184
2,asociado,0.007567
2,aspirinar,0.000791
2,atacar,0.0009
2,aumento,-0.004872
2,avance,0.014614
2,avanza,5.3e-05
2,avanzado,0.051509
2,avanzar,0.014581
2,ayudarte,0.014608
2,azucar,0.000164
2,bajar,0.014614
2,bajo,0.001002
2,basal,-0.037678
2,basico,0.007383
2,basocelular,-0.043061
2,bastante,-3.5e-05
2,bazo,0.00021
2,beber,0.000527
2,bebido,0.000527
2,beneficioso,0.014581
2,benigno,0.000356
2,bien,0.017093
2,biliar,0.000167
2,bilirrubin,-0.000409
2,bilis,-8.9e-05
2,biologia,0.000184
2,biopsia,0.000513
2,blanco,-0.020808
2,bloquea,-0.000136
2,bloquear,0.007317
2,borde,-0.010919
2,brazo,-0.007565
2,bronceadorar,-0.037678
2,buen,0.001908
2,bulto,-0.009615
2,bulto_mama,-0.00069
2,cabelludo,-0.010765
2,cabeza,0.000832
2,cada,0.009555
2,cadena,0.00046
2,cafar,-0.000171
2,calambre,0.000564
2,calcio,0.0006
2,calor,0.007223
2,calorio,0.007818
2,cama,-0.037678
2,cambiar,-0.005356
2,cambio_evacuacion,0.001845
2,cambio_lunar,-0.048443
2,cambio_piel,-0.000518
2,campo,0.000327
2,canal,0.000132
2,cansancio,0.020231
2,cantidad,0.010055
2,capa,-0.005356
2,capaz,0.000184
2,cara,-0.009865
2,carcinoma,-0.101756
2,carcinomar,-0.005199
2,carne,0.000527
2,casi,-2e-05
2,causado,0.0006
2,cava,0.0012
2,cell,0.0018
2,cerca,0.000324
2,cercano,0.00716
2,cereal,0.007554
2,cerebelo,0.0006
2,cerebro,0.0015
2,cerrar,-0.011883
2,ciclo,0.000382
2,cierto,0.002313
2,cirrosis,0.00046
2,cirugia,0.014996
2,cirugio,0.000532
2,cita,-0.005014
2,claro,0.004003
2,clasificacion,0.007501
2,clave,0.000357
2,coagulo,-0.000409
2,cola,0.007154
2,colangiocarcinoma,0.000276
2,coledoco,-0.000204
2,colesterol,0.000368
2,colon,0.019244
2,color,-0.024689
2,coloracion,0.000197
2,colorrectal,0.000527
2,colposcopia,5.3e-05
2,columna,5.3e-05
2,comar,0.007818
2,combinar,0.00029
2,comer,0.007611
2,comienzo,0.000624
2,compania,0.002303
2,comparacion,0.007383
2,completamente,0.000184
2,complicacion,0.014581
2,comprender,0.000132
2,compuesto,0.000392
2,conducto,0.007253
2,confusion,0.0006
2,conocer,0.016881
2,conocido,0.014792
2,consanguineo,0.002172
2,consecuencia,6.6e-05
2,conseguir,0.014581
2,considerar,0.015109
2,contar,0.007336
2,contraer,-0.005276
2,contribuir,0.000119
2,controlar,0.009775
