document_id,term,frequency
9,linfocitico,5
1,lippincott,2
1,liquido,1
5,liquido,2
6,liquido,1
8,liquido,1
3,llegar,1
4,llegar,1
8,llegar,3
1,llevar,2
5,llevar,2
7,llevar,2
10,llevar,1
3,lograr,1
5,lograr,2
10,lograr,1
3,lucrir,1
4,lucrir,1
5,lucrir,1
9,lucrir,1
10,lucrir,1
1,luego,1
7,luego,3
10,luego,1
1,lugar,3
4,lugar,1
7,lugar,4
9,lugar,1
4,lunar,12
1,lung,8
4,luz,15
10,luz,1
4,madre,1
5,madre,1
7,madre,3
10,madre,2
7,maduracion,2
5,magnetico,1
7,magnetico,2
2,mama,30
5,mama,2
7,mama,1
4,mancha,7
9,mancha,1
4,mano,4
5,mantener,1
7,mantener,1
3,mantir,1
5,mantir,1
10,mantir,1
1,mareo,3
1,masa,13
2,masa,10
3,masa,2
4,masa,4
5,masa,2
7,masa,16
8,masa,2
10,masa,3
5,masculino,5
5,matar,1
10,matar,1
7,maximo,2
5,mayoclinic,1
10,mayoclinic,1
3,mayoriar,1
7,mayoriar,2
3,mediante,1
5,mediante,3
5,medida,2
8,medida,1
9,medida,1
10,medida,1
4,medido,1
5,medido,3
10,medido,1
7,medio,2
9,medula,3
9,medula_osea,8
1,mejorar,1
5,mejorar,2
4,melanoma,8
4,melanomo,9
1,memorio,2
10,menopausia,2
3,menor,2
5,menor,1
2,menos,1
3,menos,2
4,menos,1
10,menos,1
10,menstrual,3
1,menudo,1
4,menudo,2
5,menudo,1
7,menudo,1
8,menudo,5
10,menudo,1
3,metastasico,1
4,metastasico,1
5,metastasico,3
7,metastasis,2
5,miccion_frecuente,7
1,microcitico,30
9,mielogen,6
7,mientras,1
10,mientras,1
5,minucioso,1
10,minucioso,1
3,minuto,2
4,mirar,1
5,mirar,1
10,mirar,1
3,mision,1
4,mision,1
5,mision,1
9,mision,1
10,mision,1
1,mismo,2
7,mismo,1
10,mismo,1
7,molecula,3
4,momento,2
5,momento,1
7,momento,1
9,momento,1
10,momento,1
9,moretones,7
3,morir,2
4,morir,6
5,morir,1
10,morir,1
5,motivo,2
7,muerte,2
7,muertir,2
3,mujer,1
7,mujer,7
10,mujer,1
3,multiplicar,1
4,multiplicar,1
5,multiplicar,1
9,multiplicar,1
4,multipliquen,1
5,multipliquen,1
5,mundo,1
7,mundo,1
1,muscular,2
1,musculo,2
5,mutacion,2
7,mutacion,3
9,mutacion,2
7,mutar,2
3,natural,1
7,natural,1
10,natural,1
1,nausea,2
6,nausea,6
7,nausea,4
8,nausea,7
1,navigation,1
6,navigation,1
8,navigation,1
1,necesario,2
5,necesario,2
1,necesidad,1
5,necesidad,2
3,negro,2
4,negro,3
5,negro,3
6,negro,1
1,nervio,3
8,nervio,1
1,nervioso,3
1,neurologico,2
2,ningun,1
5,ningun,2
8,ningun,1
10,ningun,1
1,ninguno,1
2,ninguno,1
7,ninguno,1
9,ninguno,1
7,nino,2
9,nino,4
5,noche,1
9,noche,1
1,non,2
5,normal,3
