term,doc_1,doc_2,doc_3,doc_4,doc_5,doc_6,doc_7,doc_8,doc_9,doc_10
dificultad_respirar,8,0,0,0,0,0,0,0,0,0
dificultar,0,0,0,1,0,0,0,1,0,0
digestion,0,0,0,0,0,0,2,0,0,0
digestivo,0,0,3,0,0,0,0,0,0,0
digital,0,0,1,1,1,0,0,0,0,0
dirigido,1,0,2,0,0,1,0,1,0,2
disemin,0,0,1,1,7,0,0,0,0,0
diseminir,0,0,0,1,1,0,0,0,0,0
disenado,1,0,0,0,0,0,1,0,0,0
disfuncion,0,0,0,0,3,0,0,0,0,0
disminuir,0,0,0,0,0,0,2,0,1,0
distante,2,0,0,0,0,0,0,0,0,0
distinto,3,0,0,0,0,0,2,2,0,0
diverso,0,0,0,0,2,0,2,0,0,1
dividir,0,0,0,0,0,0,0,0,1,1
division,0,0,0,0,0,0,11,0,0,0
dolor,7,9,2,1,3,1,1,10,1,5
dolor_abdominal,0,0,6,0,0,7,6,7,0,0
dolor_espalda,0,0,0,0,4,0,0,6,0,0
dolor_mama,0,5,0,0,0,0,0,0,0,0
dolor_pecho,7,0,0,0,0,0,0,0,0,0
dolor_pelvico,0,0,0,0,5,0,0,0,0,6
dolor_sexual,0,0,0,0,0,0,0,0,0,5
donir,2,0,0,0,0,0,0,0,0,0
dos,0,0,1,2,0,0,2,0,0,2
dosis,0,0,1,0,0,0,0,0,0,1
ecografia,0,0,0,0,1,0,1,0,0,0
edicion,0,0,2,2,0,0,0,0,0,1
ejemplo,2,0,1,1,0,0,2,0,0,1
elegir,0,0,1,0,1,0,0,0,0,0
elevado,0,0,2,0,0,0,0,0,0,0
eliminar,0,0,0,0,2,0,0,0,0,0
embarazo,0,0,0,0,0,0,0,0,0,2
emitir,0,0,0,2,0,0,0,0,0,0
empeora,2,0,0,0,0,0,0,0,0,0
empeorar,0,1,0,0,0,0,0,1,0,0
empezar,0,0,2,0,0,0,0,0,0,1
empiez,0,0,0,0,1,0,0,0,0,1
encargado,1,0,0,0,0,0,1,0,0,0
encima,1,0,0,0,0,1,0,0,0,0
endocrino,3,0,0,0,0,0,0,0,0,0
energia,0,0,0,0,1,0,1,1,0,1
enrojecimiento,0,2,0,0,0,0,0,1,0,0
entonces,0,0,0,0,1,0,1,1,0,0
entrar,1,0,0,0,0,0,1,0,0,0
envia,0,0,0,0,0,0,2,0,0,0
epidermoidar,0,0,0,2,0,0,0,0,0,0
equilibrio,2,0,0,0,0,0,0,0,0,0
ereccion,0,0,0,0,2,0,0,0,0,0
erectil,0,0,0,0,3,0,0,0,0,0
error,2,0,0,0,0,0,0,0,0,0
escamos,0,0,0,7,0,0,0,0,0,4
escuchar,0,0,0,1,1,0,0,0,0,0
esencial,0,0,0,0,1,0,1,0,0,0
espalda,1,0,0,1,1,0,0,4,0,0
especial,0,0,0,0,0,0,1,0,0,1
especialmente,0,0,0,0,1,0,0,1,0,0
especifico,1,0,0,0,2,0,3,0,1,1
espontaneo,0,0,0,0,0,0,0,0,0,3
esputo,1,0,0,0,0,0,0,0,0,0
estadisticar,1,0,0,0,0,1,0,1,0,0
esteroid,0,0,0,0,0,0,2,0,0,0
estomago,0,0,0,0,0,42,0,1,0,0
estrategia,0,0,0,0,1,0,0,0,1,1
estrenimiento,1,0,6,0,0,0,0,0,0,0
